"software","version","date","time","output_file","data_file","file_path","study_name","model_number","subgroup","model_type","process_a","process_b","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","has_converged","trust_all","mistrust","covar_covered","ab_TAU_00_est","ab_TAU_00_se","ab_TAU_00_wald","ab_TAU_00_pval","ab_TAU_11_est","ab_TAU_11_se","ab_TAU_11_wald","ab_TAU_11_pval","ab_TAU_01_est","ab_TAU_01_se","ab_TAU_01_wald","ab_TAU_01_pval","ab_TAU_10_est","ab_TAU_10_se","ab_TAU_10_wald","ab_TAU_10_pval","ab_SIGMA_est","ab_SIGMA_se","ab_SIGMA_wald","ab_SIGMA_pval","aa_TAU_00_est","aa_TAU_00_se","aa_TAU_00_wald","aa_TAU_00_pval","aa_TAU_11_est","aa_TAU_11_se","aa_TAU_11_wald","aa_TAU_11_pval","aa_TAU_01_est","aa_TAU_01_se","aa_TAU_01_wald","aa_TAU_01_pval","a_SIGMA_est","a_SIGMA_se","a_SIGMA_wald","a_SIGMA_pval","bb_TAU_00_est","bb_TAU_00_se","bb_TAU_00_wald","bb_TAU_00_pval","bb_TAU_11_est","bb_TAU_11_se","bb_TAU_11_wald","bb_TAU_11_pval","bb_TAU_10_est","bb_TAU_10_se","bb_TAU_10_wald","bb_TAU_10_pval","b_SIGMA_est","b_SIGMA_se","b_SIGMA_wald","b_SIGMA_pval","a_GAMMA_00_est","a_GAMMA_00_se","a_GAMMA_00_wald","a_GAMMA_00_pval","a_GAMMA_10_est","a_GAMMA_10_se","a_GAMMA_10_wald","a_GAMMA_10_pval","b_GAMMA_00_est","b_GAMMA_00_se","b_GAMMA_00_wald","b_GAMMA_00_pval","b_GAMMA_10_est","b_GAMMA_10_se","b_GAMMA_10_wald","b_GAMMA_10_pval","R_IAIB_est","R_IAIB_se","R_IAIB_wald","R_IAIB_pval","R_SASB_est","R_SASB_se","R_SASB_wald","R_SASB_pval","R_RES_AB_est","R_RES_AB_se","R_RES_AB_wald","R_RES_AB_pval","a_GAMMA_01_est","a_GAMMA_01_se","a_GAMMA_01_wald","a_GAMMA_01_pval","a_GAMMA_11_est","a_GAMMA_11_se","a_GAMMA_11_wald","a_GAMMA_11_pval","b_GAMMA_01_est","b_GAMMA_01_se","b_GAMMA_01_wald","b_GAMMA_01_pval","b_GAMMA_11_est","b_GAMMA_11_se","b_GAMMA_11_wald","b_GAMMA_11_pval"
"Mplus VERSION 5.1","0.1","06/02/2015"," 2:56 PM","u1_male_a_walking_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_male_a_walking_nocog_nophysspec_nocogspec.out","nuage","u1","male","a","nophysspec","nocogspec",848,4,NA,8,-4033.308,8082.615,8120.558,8095.153,8082.7866328963,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0.228,2.024,0.043,0.041,0.071,0.58,0.562,0.133,0.079,1.67,0.095,0.529,0.212,2.499,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.903,0.037,106.423,0,-0.012,0.016,-0.754,0.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,5.348,0,0.018,0.005,3.342,0.001,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","06/02/2015"," 2:47 PM","u1_male_aeh_chair_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_male_aeh_chair_nocog_nophysspec_nocogspec.out","nuage","u1","male","aeh","nophysspec","nocogspec",843,4,NA,12,-7199.541,14423.081,14479.925,14441.816,14423.4569036145,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.058,1.027,5.901,0,0.32,0.348,0.92,0.358,1.001,0.36,2.778,0.005,4.904,0.608,8.062,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.443,0.196,53.192,0,0.385,0.065,5.939,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191,0.027,6.979,0,0.037,0.011,3.232,0.001,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","03/11/2015"," 4:04 PM","u1_male_aeh_flamingo_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_male_aeh_flamingo_nocog_nophysspec_nocogspec.out","nuage","u1","male","aeh","nophysspec","nocogspec",846,4,NA,12,-11878.646,23781.291,23838.177,23800.069,23781.6655498199,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.862,16.394,13.838,0,5.015,2.555,1.963,0.05,-13.328,5.202,-2.562,0.01,122.155,8.42,14.507,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.581,1.234,19.114,0,-2.014,0.376,-5.361,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.695,0.137,-12.416,0,0.04,0.044,0.911,0.362,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","03/11/2015","11:40 AM","u1_male_aeh_muscle_nocog_grip_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_male_aeh_muscle_nocog_grip_nocogspec.out","nuage","u1","male","aeh","grip","nocogspec",846,4,NA,12,-10828.208,21680.416,21737.303,21699.194,21680.7905498199,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.567,13.575,14.923,0,1.867,0.885,2.11,0.035,-2.625,2.271,-1.156,0.248,36.182,2.491,14.523,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.102,0.968,83.795,0,-2.501,0.235,-10.634,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.388,0.128,-10.85,0,-0.029,0.028,-1.024,0.306,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","03/11/2015","11:44 AM","u1_male_aeh_nophys_global_nophysspec_mmms.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_male_aeh_nophys_global_nophysspec_mmms.out","nuage","u1","male","aeh","nophysspec","mmms",847,4,NA,12,-8594.331,17212.662,17269.562,17231.454,17213.0361007194,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.786,0.997,8.816,0,0.702,0.31,2.263,0.024,2.373,0.368,6.456,0,11.322,0.571,19.819,0,NA,NA,NA,NA,NA,NA,NA,NA,91.57,0.262,349.634,0,-0.687,0.111,-6.193,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.143,0.034,-4.203,0,-0.046,0.016,-2.904,0.004
"Mplus VERSION 5.1","0.1","03/11/2015","12:25 PM","u1_male_aeh_tug_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_male_aeh_tug_nocog_nophysspec_nocogspec.out","nuage","u1","male","aeh","nophysspec","nocogspec",846,4,NA,12,-6209.981,12443.962,12500.848,12462.74,12444.3365498199,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.653,0.646,4.104,0,0.406,0.281,1.445,0.149,0.641,0.366,1.752,0.08,2.014,0.65,3.097,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.826,0.122,80.635,0,0.136,0.051,2.689,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142,0.019,7.521,0,0.048,0.013,3.739,0,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","06/02/2015"," 2:58 PM","u1_male_aeh_walking_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_male_aeh_walking_nocog_nophysspec_nocogspec.out","nuage","u1","male","aeh","nophysspec","nocogspec",846,4,NA,12,-4021.627,8067.255,8124.141,8086.033,8067.62954981993,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.226,1.968,0.049,0.042,0.071,0.589,0.556,0.132,0.079,1.664,0.096,0.528,0.211,2.502,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.952,0.051,78.031,0,-0.013,0.02,-0.683,0.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044,0.009,4.949,0,0.018,0.005,3.368,0.001,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","06/02/2015"," 2:48 PM","u1_male_aehplus_chair_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_male_aehplus_chair_nocog_nophysspec_nocogspec.out","nuage","u1","male","aehplus","nophysspec","nocogspec",843,4,NA,20,-7188.79,14417.58,14512.319,14448.806,14418.6018978102,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.875,1.005,5.846,0,0.317,0.349,0.909,0.363,0.975,0.358,2.725,0.006,4.9,0.607,8.067,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.108,0.268,37.706,0,0.343,0.092,3.714,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186,0.027,7.021,0,0.036,0.011,3.176,0.001,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","03/11/2015"," 4:03 PM","u1_male_aehplus_flamingo_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_male_aehplus_flamingo_nocog_nophysspec_nocogspec.out","nuage","u1","male","aehplus","nophysspec","nocogspec",846,4,NA,20,-11861.731,23763.462,23858.272,23794.758,23764.4801818182,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216.305,15.892,13.611,0,4.943,2.546,1.941,0.052,-12.7,5.127,-2.477,0.013,122.131,8.416,14.512,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.319,1.601,17.059,0,-2.049,0.497,-4.126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.661,0.135,-12.28,0,0.041,0.044,0.932,0.351,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","03/11/2015","11:40 AM","u1_male_aehplus_muscle_nocog_grip_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_male_aehplus_muscle_nocog_grip_nocogspec.out","nuage","u1","male","aehplus","grip","nocogspec",846,4,NA,20,-10824.261,21688.523,21783.333,21719.819,21689.5411818182,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.292,13.567,14.837,0,1.848,0.884,2.09,0.037,-2.681,2.277,-1.177,0.239,36.171,2.489,14.53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.724,1.37,58.934,0,-2.354,0.291,-8.093,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.39,0.127,-10.961,0,-0.026,0.028,-0.922,0.356,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","03/11/2015","11:42 AM","u1_male_aehplus_nophys_global_nophysspec_mmms.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_male_aehplus_nophys_global_nophysspec_mmms.out","nuage","u1","male","aehplus","nophysspec","mmms",847,4,NA,20,-8590.364,17220.728,17315.562,17252.048,17221.7449491525,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.757,1,8.759,0,0.695,0.309,2.246,0.025,2.361,0.366,6.446,0,11.3,0.569,19.87,0,NA,NA,NA,NA,NA,NA,NA,NA,91.207,0.337,270.909,0,-0.539,0.152,-3.551,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.147,0.034,-4.28,0,-0.045,0.016,-2.84,0.005
"Mplus VERSION 5.1","0.1","03/11/2015","12:29 PM","u1_male_aehplus_tug_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_male_aehplus_tug_nocog_nophysspec_nocogspec.out","nuage","u1","male","aehplus","nophysspec","nocogspec",846,4,NA,20,-6196.261,12432.523,12527.333,12463.819,12433.5411818182,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.553,0.648,3.938,0,0.397,0.273,1.458,0.145,0.623,0.351,1.774,0.076,2.015,0.651,3.095,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.69,0.189,51.357,0,0.099,0.057,1.73,0.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.139,0.019,7.416,0,0.048,0.012,3.89,0,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","06/02/2015"," 2:58 PM","u1_male_aehplus_walking_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_male_aehplus_walking_nocog_nophysspec_nocogspec.out","nuage","u1","male","aehplus","nophysspec","nocogspec",846,4,NA,20,-4009.971,8059.941,8154.752,8091.238,8060.95918181818,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.432,0.223,1.937,0.053,0.042,0.071,0.594,0.552,0.131,0.078,1.671,0.095,0.525,0.209,2.512,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.825,0.083,46.049,0,-0.037,0.027,-1.347,0.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042,0.009,4.858,0,0.018,0.005,3.335,0.001,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","03/11/2015","11:46 AM","u1_male_age_muscle_nocog_grip_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_male_age_muscle_nocog_grip_nocogspec.out","nuage","u1","male","age","grip","nocogspec",848,4,NA,8,-10867.398,21750.796,21788.739,21763.333,21750.9676328963,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219.085,14,15.649,0,1.862,0.886,2.102,0.036,-2.752,2.325,-1.184,0.237,36.177,2.491,14.523,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.888,0.787,101.503,0,-2.468,0.165,-14.994,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.497,0.132,-11.376,0,-0.028,0.028,-1.016,0.309,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","03/11/2015","11:41 AM","u1_male_age_nophys_global_nophysspec_mmms.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_male_age_nophys_global_nophysspec_mmms.out","nuage","u1","male","age","nophysspec","mmms",851,4,NA,8,-8734.601,17485.202,17523.173,17497.767,17485.3730213777,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.857,1.112,12.46,0,0.686,0.304,2.257,0.024,2.939,0.39,7.54,0,11.419,0.58,19.683,0,NA,NA,NA,NA,NA,NA,NA,NA,93.606,0.223,420.694,0,-0.556,0.075,-7.409,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.189,0.039,-4.885,0,-0.052,0.016,-3.296,0.001
